"開始時刻","終了時刻","案件","作業内容","工数付け先","日付","経過時間","","id"
"23:55:00","23:55:00","","","","2024-12-03",0,,0
"14:37:00","14:37:00","","","","2024-12-02",0,,1
"14:36:00","14:36:00","あ","ああ","あ","2024-12-02",0,,2
"14:28:00","14:28:00","","","","2024-12-02",0,,3
"11:25:00","11:25:00",,,,"2024-12-02",0,0,4
"09:47:00","09:47:00",,,,"2024-12-02",0,1,5
"23:31:00","23:31:00",,,,"2024-12-01",0,2,6
"23:23:00","23:23:00",,,,"2024-12-01",0,3,7
"23:23:00","23:23:00",,,,"2024-12-01",0,4,8
"23:23:00","23:23:00",,,,"2024-12-01",0,5,9
"23:23:00","23:23:00",,,,"2024-12-01",0,6,10
"23:23:00","23:23:00",,,,"2024-12-01",0,7,11
