"id","date","start","end","task","effort_assignment"
0,"2024-12-21","16:42:00","16:42:00","a","a"
1,"2024-12-21","17:11:00","17:11:00","a","b"
2,"2024-12-21","17:11:00","17:11:00","a","b"
3,"2024-12-21","17:11:00","17:11:00","a","b"
4,"2024-12-21","17:11:00","17:11:00","a","b"
5,"2024-12-21","17:11:00","17:11:00","a","b"
6,"2024-12-21","17:11:00","17:11:00","a","b"
7,"2024-12-21","17:11:00","17:11:00","a","b"
8,"2024-12-21","17:11:00","17:11:00","a","b"
9,"2024-12-22","23:23:00","23:23:00","a","a"
10,"2024-12-22","23:23:00","23:23:00","a","a"
11,"2024-12-22","23:23:00","23:23:00","a","a"
12,"2024-12-22","23:23:00","23:23:00","a","a"
13,"2024-12-22","23:23:00","23:23:00","a","a"
14,"2024-12-22","23:23:00","23:23:00","a","a"
15,"2024-12-22","23:23:00","23:23:00","a","a"
16,"2024-12-23","00:00:00","01:00:00","a","a"
17,"2024-12-23","00:00:00","01:00:00","a","a"
18,"2024-12-23","01:30:00","03:45:00","a","b"
19,"2024-12-23","01:30:00","03:45:00","a","b"
20,"2024-12-23","01:30:00","03:45:00","a","b"
21,"2024-12-23","01:30:00","03:45:00","a","b"
22,"2024-12-23","01:30:00","03:45:00","a","b"
23,"2024-12-23","16:33:00","16:33:00","b","b"
24,"2024-12-23","16:33:00","16:33:00","b","b"
25,"2024-12-23","16:33:00","16:33:00","b","b"
26,"2024-12-23","16:33:00","16:33:00","b","b"
27,"2024-12-23","16:33:00","16:33:00","b","b"
28,"2024-12-23","16:33:00","16:33:00","b","b"
29,"2024-12-23","16:33:00","16:33:00","b","b"
30,"2024-12-23","16:33:00","16:33:00","b","b"
31,"2024-12-23","16:33:00","16:33:00","b","b"
32,"2024-12-23","16:33:00","16:33:00","b","bb"
33,"2024-12-23","16:33:00","16:33:00","b","bb"
34,"2024-12-23","16:33:00","16:33:00","b","bb"
35,"2024-12-23","16:33:00","16:33:00","b","bb"
36,"2024-12-23","16:33:00","16:33:00","b","bb"
37,"2024-12-23","16:33:00","16:33:00","b","bb"
38,"2024-12-23","16:34:00","21:15:00","b","b"
39,"2024-12-23","16:34:00","21:15:00","b","b"
40,"2024-12-23","16:34:00","21:15:00","b","b"
41,"2024-12-23","16:34:00","21:15:00","b","b"
42,"2024-12-23","16:34:00","21:15:00","b","b"
43,"2024-12-23","16:34:00","21:15:00","b","b"
44,"2024-12-23","17:14:00","17:14:00","string","string"
